Punjabi	పంజాబీ
from	ఫ్రం
Hockey	హాకీ
fiber	ఫైబర్
Subrahmanyakavi	సుబ్రహ్మణ్యకవి
Bhogireddipalle	భోగిరెడ్డిపల్లి
Juma	జామా
Jeevitam	జీవితం
Patiala	పాటియాలా
Zindabad	జిందాబాద్
Frederick	ఫ్రెడెరిక్
Masjid	మస్జిద్
Savaal	సవాల్
Sivasagar	శిబ్‌సాగర్
Cubbon	కబ్బన్
Galvanometer	గాల్వనోమీటర్
Damalcheruvu	దామల్చెరువు
Bemetara	బెమెతర
Explorer	ఎక్స్‌ప్లోరర్
Veeraballi	వీరబల్లె
Moss	మాస్
Astasambhu	అష్టశంభు
Marxism	మార్క్సిజం
Thriyacharya	త్రిమతాచార్యులు
Subhamastu	శుభమస్తు
Golimaar	గోలీమార్
Pallavaram	పల్లవరం
Ram	రామ్‌
Uday	ఉదయ్
Neevevaro	నీవెవరో
Spring	స్ప్రింగ్
Siddu	సిద్దు
Karla	కార్ల
Michigan	మిషిగన్
Jellyfish	జెల్లీఫిష్
Tripuraneni	త్రిపురనేని
Agnihotri	అగ్నిహోత్రి
Compost	కంపోస్టు
Thulasi	తులసి
Patala	పాతాళము
Mukkalaata	ముక్కలాట
Sanathnagar	సనత్‌నగర్
Choodalani	చూడాలని
Pesarattu	పెసరట్టు
Almora	ఆల్మోరా
Eulalia	యులేలియా
Shriya	శ్రియా
Sumitra	సుమిత్ర
Korlagunta	కొర్లగుంట
Sugar	షుగర్
Sitaram	సీతారాం
Shamanism	షామానిజం
Papaiah	పాపయ్య
Geesugonda	గీసుకొండ
Okkadine	ఒక్కడినే
Mersal	మెర్సల్
chlorate	క్లోరేట్
Peace	పీస్
Keshav	కేశవ
Roopkund	రూప్‌కుండ్
Muramalla	మురమళ్ళ
Sardukupodaam	సర్దుకుపోదాం
Vakkantham	వక్కంతం
Romney	రోమ్నీ
Neelima	నీలిమ
Akal	అకాల్
Himalayas	హిమాలయాలు
Brahmanda	బ్రహ్మాండ
Vinay	వినయ్
Uncle	అంకుల్
Pothuluru	పోతులూరి
Haasan	హాసన్
Children	చిల్డ్రన్
lyrata	లైరెట
Venkat	వెంకట
Grazia	గ్రేజియా
Dashanami	దశనామి
Optical	ఆప్టికల్
card	కార్డ్
Ani	అనీ
Jivayatra	జీవయాత్ర
Dolby	డాల్బీ
Kukke	కుక్కే
Pune	పూణే
Amin	అమీన్
Naanna	నాన్న
Mohenjodaro	మొహెంజోదారో
Chiranjeevi	చిరంజీవి
Mekapotula	మేకపోతుల
Madhunapantula	మధునాపంతుల
Gadicherla	గాడిచర్ల
Puttaparthi	పుట్టపర్తి
Best	బెస్ట్
Jerrie	జెర్రీ
Savings	సేవింగ్స్
Shakespeare	షేక్‌స్పియర్
Kaurava	కౌరవులు
Crorepati	క్రోర్‌పతి
Trust	ట్రస్ట్
Penuganchiprolu	పెనుగంచిప్రోలు
Cartoon	కార్టూన్
Apparao	అప్పారావు
Trojan	ట్రోజన్
Fidaa	ఫిదా
Family	ఫ్యామిలీ
Herta	హెర్టా
Secrets	సీక్రెట్స్
Chekurapadu	చెకూరపాడు
Satara	సతారా
Giga	గిగా
Pattipati	పత్తిపాటి
Shankara	శంకర
Kamini	కామిని
Neramillai	నేరమిల్లై
Khan	ఖాన్‌
Marion	మారియన్
Mantra	మంత్రం
Anasagaram	అనాసాగరం
Adilabad	ఆదిలాబాద్
Pistorius	పిస్టోరియస్
Morarji	మొరార్జీ
Sankranthi	సంక్రాంతి
Terminalia	టెర్మినేలియా
Davis	డేవిస్
Atlanta	అట్లాంటా
Nainital	నైనీటాల్
Bali	బాలి
Hemingway	హెమింగ్‌వే
Police	పోలీస్‌
Devgn	దేవ్‌గణ్
Jangareddygudem	జంగారెడ్డిగూడెం
Renigunta	రేణిగుంట
auriculiformis	అరికులిఫోర్మిస్
Khadi	ఖాదీ
Kadiyapusavaram	కడియపుసావరం
Marichi	మరీచి
Operation	ఆపరేషన్
Angkor	ఆంగ్‌కోర్
Road	రోడ్డు
Verma	వర్మ
Tuntari	తుంటరి
Pokkunuru	పొక్కునూరు
Preminchi	ప్రేమించి
Dubbaka	దుబ్బాక
Ponnapati	పొన్నపాటి
Ferdinand	ఫెర్డినాండ్
Mahishamardini	మహిషమర్దని
Garidepally	గరిడేపల్లి
Thungathurthy	తుంగతుర్తి
Battili	బత్తిలి
Vikas	వికాస్
Marsh	మార్ష్
Sharanam	శరణం
Park	పార్కు
Chandana	చందన
Agnyaathavaasi	అజ్ఞాతవాసి
visa	వీసా
Mata	మాతా
Paramanandayya	పరమానందయ్య
Chamundi	చాముండి
Kuttanad	కుట్టనాడు
Raave	రావే
Mansoor	మన్సూర్
Reservation	రిజర్వేషన్
Mayawati	మాయావతి
Srimathi	శ్రీమతీ
Harbour	హార్బర్
Manchi	మంచి
Vavilla	వావిళ్ల
Antara	అంతరా
Khaidi	ఖైదీ
Gundello	గుండెల్లో
Cusec	క్యూసెక్కు
Mindanao	మిండానౌ
Surender	సురేందర్
Algorithm	అల్గారిథం
nitride	నైట్రైడ్
KVB	కెవిబి
Tribhanga	త్రిభంగ
Kshatriya	క్షత్రియ
Suhaib	సుహైబ్
Stevia	స్టెవియా
Medicine	మెడిసిన్
Enemy	ఎనిమీ
Hammurabi	హమ్మురాబి
bromide	బ్రోమైడ్
Madhavaram	మాధవరం
Majha	మాఝా
Vaikhanasas	వైఖానసం
Pulastya	పులస్త్యుడు
Hume	హ్యూమ్
Kanyadanam	కన్యాదానం
John	జాన్‌
Pongal	పొంగలి
Programming	ప్రోగ్రామింగు
MediaWiki	మీడియావికీ
Gokak	గోకాక్
Kankavali	కంకవాలి
Vajpayee	వాజపేయి
Shah	షా
Om	ఓం
Khushi	ఖుషీ
cyanide	సైనైడ్
Manubolu	మనుబోలు
Wines	వైన్స్
Cerium	సీరియం
Boravelli	బోరవెల్లి
Piano	పియానో
Foma	ఫోమా
Rameshwar	రామేశ్వర్
Parvathi	పార్వతి
Love	లవ్
Himesh	హిమేశ్
Tommy	టామి
Ashta	అష్టవిధ
Janakiraman	జానకిరామన్
Ronald	రోనాల్డ్
Angola	అంగోలా
Taylor	టేలర్
Dwarapudi	ద్వారపూడి
Shaurya	శౌర్య
Surekha	సురేఖ
Pushpakumara	పుష్పకుమార
Films	ఫిలింస్
John	జాన్
cutter	కట్టర్
Vunukuru	ఉణుకూరు
Bond	బాండ్
Jasmine	జాస్మిన్
NetBeans	నెట్‌బీన్స్
Malawi	మలావి
Rigoberta	రిగోబర్టా
Kakapora	కాకపోరా
Adavilo	అడవిలో
Ames	అమెస్
Da	డా
Dahyabhai	దాహ్యాబాయి
Pulitzer	పులిట్జర్
Poonam	పూనం
Tailang	తైలంగ్‌
Yellampalli	ఎల్లంపల్లి
Maddikera	మద్దికేర
Cameron	కామెరాన్
Taxi	టాక్సీ
Youyou	యుయు
Boggudupalli	బొగ్గుడుపల్లె
R	ఆర్
Charlie	చార్‌ల్స్
Gold	గోల్డ్
Palnadu	పల్నాడు
Women	ఉమెన్
Mudiraj	ముదిరాజ్
Palghat	పాల్గాట్
Shravanabelagola	శ్రావణబెళగొళ
Yami	యామీ
Shamili	శామిలి
Yechury	ఏచూరి
Atul	అతుల్
Krishnamachari	కృష్ణమాచారి
reception	రిసెప్సన్
Maldives	మాల్దీవులు
Council	కౌన్సిల్
Indra	ఇంద్రా
Dwivedi	ద్వివేది
Punarnavi	పునర్ణవి
Swarnamalya	స్వర్ణమాల్య
Lakshyam	లక్ష్యం
Kriti	కృతి
Pasivadu	పసివాడు
Adiserla	అడిశర్ల
Trophy	ట్రోఫి
Alicia	అలీసియా
Nizam	నిజాం
Chowdhury	చౌదరి
Dysmenorrhea	డిస్మెనోరియా
Flowers	ఫ్లవర్స్
Mallikarjuna	మల్లికార్జున
Prabhavatigupta	ప్రభావతిగుప్త
Bodhi	బోధి
Rakshana	రక్షణ
Bangarayya	బంగారయ్య
Sircilla	సిరిసిల్ల
Rewari	రెవారి
Bhadram	భద్రం
Bhalevadivi	భలేవాడివి
Russell	రస్సెల్
Tanikella	తనికెళ్ళ
Gunturu	గుంటూరు
Chronicle	క్రానికల్
Theeyaga	తీయగా
Raptisagar	రప్తీసాగర్
Irasalagundam	ఇరసలగుండం
Shaheed	షహీద్
Bhavan	భవనం
Ester	ఎస్టర్
Wasim	వసీం
Baudelaire	బాడిలేర్
Pyramid	పిరమిడ్
Boney	బోనీ
Madhurapudi	మధురపూడి
War	పాక్
Rana	రానా
Dongala	దొంగల
Electronic	ఎలక్ట్రానిక్
Elaprolu	ఎలప్రోలు
Blogger	బ్లాగర్
Purochana	పురోచనుడు
Partap	ప్రతాప్
Kirlian	కిర్లియన్‌
Seraikela	సెరైకెల
Solanales	సొలనేలిస్
Sciences	సైన్సెస్
Andy	ఆండీ
like	లైక్
Kankipadu	కంకిపాడు
Manasi	మానసీ
Aswathanarayana	అశ్వత్థనారాయణ
Bano	బానో
Gertrude	జర్‌ట్రూడ్
Negi	నేగీ
mummies	మమ్మీలు
Kongu	కొంగు
Topi	టోపీ
Kantakapalli	కంటకాపల్లి
Villain	విలన్
Addala	అడ్డాల
Amudalachalaka	ఆముదాలచలక
Malakacherla	మలకచర్ల
Warrior	వారియర్
Purana	పురాణము
Space	స్పేస్
Kodanda	కోదండ
Basu	బసు
Navvindi	నవ్వింది
Hassan	హసన్
Rao	వరవరరావు
Nanaji	నానాజీ
Lingampet	లింగంపేట్
Bergman	బెర్గ్మాన్
Dracula	డ్రాకులా
Billakurru	బిళ్ళకూరు
Bohemia	బొహెమియా
Ranam	రణం
car	కారు
Mahasaya	మహాశయులు
Darshan	దర్శన్
Matriculation	మెట్రిక్యులేషన్
Heathrow	హీత్రూ
Praja	ప్రజా
Tagore	ఠాగూర్
Manushuloyi	మనుషులోయ్
Addateegala	అడ్డతీగల
Wanaparthy	వనపర్తి
Nallajerla	నల్లజర్ల
project	ప్రాజెక్టు
Room	రూమ్‌
Vanara	వానరులు
Bandlaguda	బండ్లగూడ
Subbamma	సుబ్బమ్మ
Madhubani	మధుబని
Garladinne	గార్లదిన్నె
Ramadorai	రామదొరై
Veyipadagalu	వేయిపడగలు
Borgir	బోర్‌గిర్
Rituparno	ఋతుపర్ణ
Naku	నాకూ
Naneelu	నానీలు
Credit	క్రెడిట్
Sribhashyam	శ్రీభాష్యం
Tango	టాంగో
Roopa	రూపా
Cities	సిటీస్
Nadaswaram	నాదస్వరం
Bhadrachalam	భద్రాచలం
Sitaramayya	సీతారామయ్య
SSC	ఎస్ఎస్సి
Mahanama	మహనామా
Vijayendra	విజయేంద్ర
Rashtriya	రాష్ట్రీయ
Sumangali	సుమంగళి
Doulatabad	దౌలతాబాద్
Bhamini	భామిని
Parashakti	పరాశక్తి
Teneteega	తేనెటీగ
by	బై
Atreyapuram	ఆత్రేయపురం
Noam	నోమ్
Bindaas	బిందాస్
dating	డేటింగ్
Kousalya	కౌసల్య
Tandur	తాండూరు
Haranath	హరనాథ్
Parishad	పరిషత్
Khalistan	ఖలిస్తాన్
Eton	ఇటాన్
Tapeswaram	తాపేశ్వరం
Florida	ఫ్లోరిడా
Minaret	మీనార్
LeBron	లెబ్రాన్
Sahaja	సహజ
Azerbaijan	అజర్‌బైజాన్
Swaminathan	స్వామినాథన్
Anju	అంజూ
Samskruthika	సాంస్కృతిక
Karamchedu	కారంచేడు
Bujji	బుజ్జి
Gariaband	గరీబన్
Tumburu	తుంబురుడు
Dimmu	డిమ్ము
Gunde	గుండె
Maisamma	మైసమ్మ
Database	డేటాబేస్
Kambaladinne	కంబాలదిన్నె
Chinateenarla	చినతీనార్ల
Monuments	మాన్యుమెంట్స్
Sapindales	సపిండేలిస్
Smena	స్మెనా
Skywalk	స్కైవాక్
Sahitya	సాహిత్య
Franklyn	ఫ్రాంక్లిన్
Pellam	పెళ్లాం
Thotaravulapadu	తోటరావులపాడు
Murali	మురళీ
Vanaja	వనజా
Raguluthunna	రగులుతున్న
Order	ఆర్డర్
Mugguru	ముగ్గురు
Sticks	స్టిక్స్
Franz	ఫ్రాంజ్
Adusumalli	అడుసుమల్లి
Round	రౌండు
Encounter	ఎన్‌కౌంటర్
Oriental	ఓరియంటల్
Thottambedu	తొట్టంబేడు
manthan	మథనం
Aruba	అరుబా
Bhujabalapatnam	భుజబలపట్నం
Intlo	ఇంట్లో
Chilakapalem	చిలకపాలెం
Shamsher	షంషేర్
Klinefelter	క్లైనీఫెల్టర్
Dharmendra	ధర్మేంద్ర
Amarnath	అమర్‌నాథ్
rickshaw	రిక్షా
Rajgir	రాజ్‌గిర్
Imphal	ఇంఫాల్
Bangar	బంగర్
Mannan	మన్నన్
Madhunandan	మధునందన్
Kolli	కొల్లి
Shodhan	శోధన్
Lymphadenopathy	లెంఫాడెనోపతి
Engineering	ఇంజనీరింగ్
Mukunda	ముకుంద
Gorintaku	గోరింటాకు
Valaparla	వలపర్ల
Sukumaran	సుకుమారన్‌‌
Idli	ఇడ్లీ
station	స్టేషను
Picchu	పిచ్చు
Vemanpalle	వేమన్‌పల్లి
Basterds	బాస్టర్డ్స్
Salabat	సలాబత్
Dhekelia	ఢెకెలియా
Gandeevam	గాండీవం
Devender	దేవేందర్
Fiji	ఫిజి
Sametam	సమేతం
Balangir	బలంగిర్
Leonhard	లియొన్‌హార్డ్
Ekaram	ఎకరం
Gotra	గోత్రములు
Commission	కమిషన్
Tadwai	తాడ్వాయి
Pamidimukkala	పమిడిముక్కల
Yousufguda	యూసఫ్‌గూడ
Bhai	భాయ్
War	వార్
Vanguru	వంగూరు
Sikar	శిఖర్
Anandiben	ఆనందిబెన్
License	లైసెన్సు
Chilkoor	చిలుకూరు
Janatha	జనతా
Putlur	పుట్లూరు
Sai	సాయి
Ayyalaraju	అయ్యలరాజు
Denim	డెనిమ్
Athili	అత్తిలి
Creations	క్రియేషన్స్
Produnova	ప్రొడునొవా
Attarintiki	అత్తారింటికి
Aarudhra	ఆరుద్ర
Srimati	శ్రీమతి
Kaushal	కౌశల్
Kolar	కోలారు
Perali	పేరలి
Deol	డియోల్
Minds	మైండ్స్
Shikhar	శిఖర్
Sujata	సుజాతా
Holga	హోల్గా
Gadolinium	గాడోలీనియం
Ghatkesar	ఘటకేసర్
Patanjali	పతంజలి
Bhimavaram	భీమవరం
Philippine	ఫిలిప్పైన్
Godhuli	గోధూళి
Amavasya	అమావాస్య
Munimadugu	మునిమడుగు
Salicylic	సాలిసిలిక్
Merrill	మెర్రిల్
Ramakrishnan	రామకృష్ణన్
Papayya	పాపయ్య
Endometrium	ఎండోమెట్రియమ్
Television	టెలివిజన్
Kalyan	కళ్యాణ్
Paudwal	పౌడ్వాల్
Chellelu	చెల్లెలు
Nuwas	నువాస్
Ebenales	ఎబనేలిస్
Dinkar	దినకర్
Kalasapadu	కలసపాడు
Sanger	సాంజెర్
Konappa	కోనప్ప
Vandana	వందన
Accamma	అచ్చమ్మ
Paavurama	పావురమా
Zoo	జూ
Nashik	నాశిక్
Gurtu	గుర్టు
Damayanti	దమయంతి
Natalie	నటాలీ
Yuddham	యుద్ధం
modeling	మోడలింగ్
Srinivas	శ్రీనివాస్‌
P	పీ
Warren	వారన్
Rendu	రెండు
Lubitel	లుబిటెల్
Michael	మైఖేల్
Mullu	ముళ్ళు
Gottimukkala	గొట్టిముక్కల
Pul	పుల్
Vadaladu	వదలడు
Desamunu	దేశమును
Kallepalli	కల్లేపల్లి
Karate	కరాటే
Taraka	తారక
Baghramyan	భగ్రమ్యాన్
Vijayarama	విజయరామ
Cooper	కూపర్
Roentgenium	రోయెంట్‌జీనియం
africanus	ఆఫ్రికానస్
BandraWorli	బాంద్రావర్లి
Mahajan	మహాజన్
Gunasekhar	గుణశేఖర్
Chippagiri	చిప్పగిరి
Pulkal	పుల్కల్
Gotlam	గొట్లం
Gordimer	గార్డిమర్
Penumaka	పెనుమాక
GSM	జిఎస్ఎమ్
Santhi	శాంతి
Alexander	అలెక్జాండర్
Kobe	కోబీ
Guntupalem	గుంటుపాలెం
Penuballi	పెనుబల్లి
Goshamahal	గోషామాల్
Gambhiraopet	గంభీరావుపేట్
Veerudu	వీరుడు
ballistic	బాలిస్టిక్
Velagadurru	వెలగదుర్రు
Loren	లోరెన్
Nandivada	నందివాడ
Valentina	వాలెంతినా
Swayamkrushi	స్వయంకృషి
Dooranga	దూరంగా
Mestri	మేస్త్రి
Ansari	అన్సారి
BIOS	బయోస్
Pinakini	పినాకిని
warming	వార్మింగు
Ibn	ఇబ్న్
Chikkadpally	చిక్కడపల్లి
Kalher	కల్హేరు
Latha	లత
Kurup	కురుప్
Shishupala	శిశుపాలుడు
Me	మీ
Jalsa	జల్సా
Neevachata	నీవచట
Sandberg	శాండ్‌బర్గ్
canadensis	కెనాడెన్సిస్
Christopher	క్రిస్టొఫర్
Adobe	అడోబ్
Gautami	గౌతమి
Bhogaraju	భోగరాజు
Palamaner	పలమనేరు
Petunia	పెటూనియా
Maddipadu	మద్దిపాడు
fabrication	ఫాబ్రికేషన్
Seshu	శేషు
Cluster	క్లస్టర్‌
Tadakha	తడాఖా
Edmond	ఎండ్మండ్
Sahara	సహారా
Palacio	పాలాసియో
Bhatkal	భత్కల్
Labhamga	లాభంగా
Utukur	ఊటుకూరు
Kailash	కైలాష్
cinema	సినిమా
Attaku	అత్తకి
Fox	ఫాక్స్
Srirangapatna	శ్రీరంగపట్టణం
Syndicate	సిండికేట్
Mahadevan	మహదేవన్
page	పేజీ
Pellam	పెళ్ళాం
Manjrekar	మంజ్రేకర్
Tharakam	తారకం
ZooZoo	జూజూ
Button	బటన్
Samata	సమతా
Sagar	సాగర్
Bommasamudram	బొమ్మసముద్రం
Kodama	కొదమ
Nannu	నన్ను
rope	రోప్
Gogula	గోగుల
You	యూ
Surat	సూరత్
Michelson	మైకెల్సన్
Bible	బైబిల్
Vizianagaram	విజయనగరం
Trypanosomiasis	ట్రైపానోసోమియసిస్
Chirala	చీరాల
Speed	స్పీడ్
Koil	కోయిల్
Nadu	నాడు
Kurukuru	కురుకూరు
Karman	కర్మన్
Bean	బీన్
Velagapudi	వెలగపూడి
Haridwar	హరిద్వార్
Anasuya	అనసూయ
Saroornagar	సరూర్‌నగర్‌
Samskara	సంస్కార
Barhaspatya	బార్హస్పత్య
Dattopant	దత్తోపంత్
Springsteen	స్ప్రింగ్‌స్టీన్
Gregorian	గ్రెగోరియన్
Sripuram	శ్రీపురం
Sarvadhikari	సర్వాధికారి
Dosapadu	దోసపాడు
Nottingham	నాటింగ్‌హామ్
Meeku	మీకు
Miyazaki	మియాజాకి
Hafnium	హాఫ్నియం
Kurta	కుర్తా
Appanapalle	అప్పనపల్లి
Panchakshari	పంచాక్షరి
Siberian	సైబీరియన్
Duddala	దుద్దల
Rangaiah	రంగయ్య
Shanvi	శాన్వీ
Mira	మీరా
Rash	రాష్
Banihal	బనిహాల్
Vijayalakshmi	విజయలక్ష్మి
Hangal	హనగల్
More	మోరే
Ankusam	అంకుశం
Abhimanyu	అభిమన్యుడు
Smitha	స్మిత
Circar	సర్కార్
Rajasthan	రాజస్తాన్
Kothaguda	కొత్తగూడ
Kejriwal	కేజ్రివాల్
Lingayatism	లింగాయతి
Colorado	కొలరాడో
White	వైట్
Carbonyl	కార్బొనైల్
Banega	బనేగా
Alice	ఆలిస్
Meliaputti	మెళియాపుట్టి
Amadaguntla	ఆమడగుంట్ల
Kadambari	కాదంబరి
Blood	బ్లడ్
La	లా
Punyavathi	పుణ్యవతి
Tomato	టమాటో
Indraprastha	ఇంద్రప్రస్థ
Eluru	ఏలూరు
Ghajini	ఘజిని
Parthiv	పార్థివ్
Pitchatur	పిచ్చాటూరు
Italo	ఇటాలో
Ahimsa	అహింస
AngloMaratha	ఆంగ్లోమరాఠా
Keibul	కిబుల్
Blavatsky	బ్లావట్‌స్కీ
Puran	పురాన్
Seattle	సియాటెల్
Pitaya	పిటాయ
Terbium	టెర్బియం
Narasimharaopalem	నరసింహారావుపాలెం
Bhavaji	బావాజీ
Tribe	ట్రైబ్
Pramila	ప్రమీలా
Damodaram	దామోదరం
Kumarimuthu	కుమారిముత్తు
Kutumbham	కుటుంబం
Oohalu	ఊహలు
Dal	దాల్
Bhakta	భక్త
Sonarika	సోనారిక
Majumdar	మజుందార్
Vidyavati	విద్యావతి
Dumbriguda	దుంబ్రిగుడ
Iron	ఐరన్
Mangalam	మంగళం
Adah	అదా
Kanyasulkam	కన్యాశుల్కం
Atomic	అటామిక్
Kailas	కైలాస్
Chembakur	చెంబకూరు
Pullayya	పుల్లయ్య
Fund	ఫండ్
probe	ప్రోబ్
Polasanipalle	పొలసానిపల్లె
Kohli	కోహ్లీ
Dharpalle	ధర్‌పల్లి
Vedanga	వేదాంగములు
Hamilton	హామిల్టన్
Madalsa	మదాలస
Dena	దేనా
Jammalamadugu	జమ్మలమడుగు
Muhammad	మొహమ్మద్
Punarjanma	పునర్జన్మ
Pangili	పంగిలి
Mandir	మందిరము
Navadurga	నవదుర్గలు
Soundarya	సౌందర్య
Bapu	బాపూ
Allu	అల్లు
Penguin	పెంగ్విన్
Ammal	అమ్మాళ్
Gulkand	గుల్ఖంద్
liver	లివర్
Padmanabham	పద్మనాభం
Nirupama	నిరుపమ
Frankenstein	ఫ్రాంకెన్‌స్టీన్
Budabukkala	బుడబుక్కల
Tataka	తాటకి
Padala	పడాల
Budameru	బుడమేరు
Kundurti	కుందుర్తి
Thirukkadigai	తిరుక్కడిగై
Snehithulu	స్నేహితులు
Kausalya	కౌసల్యా
Inupamula	ఇనుపాముల
Disco	డిస్కో
Screenplay	స్క్రీన్‌ప్లే
Ayyavazhi	అయ్యావళి
Scorsese	స్కోర్సెస్
Modadugu	మోదడుగు
Email	ఈమెయిల్
Ragini	రాగిణి
Muktapida	ముక్తాపీడుడు
Victor	విక్టర్
Edi	ఏది
chat	ఛాట్
Grudge	గ్రడ్జ్
Annadammula	అన్నదమ్ముల
Jean	జీన్‌
Simhasanam	సింహాసనం
Sanchita	సంచిత
unit	యూనిట్
Semolina	సెమోలినా
Shakeel	షకీల్
Bearing	బేరింగ్
Bhaagamathie	భాగమతి
Mounam	మౌనం
Hugo	హ్యూగో
Vedavati	వేదవతి
Utsavam	ఉత్సవం
Charuhasan	చారుహాసన్
Tellapadu	తెల్లబాడు
Dhanraj	ధనరాజ్
Abraxas	అబ్రక్సాస్‌
Kulkarni	కులకర్ణి
Badrinath	బద్రీనాథ్
Kanda	కందా
Mental	మెంటల్
Konskowola	కొన్‌స్కొవొలా
Sharada	శారద
Deathly	డెత్లీ
Dhyan	ధ్యాన్
Narsaiah	నర్సయ్య
Sistan	సీస్తాన్
Kanitkar	కనిత్కర్
Uzbekistan	ఉజ్బెకిస్తాన్
Desamante	దేశమంటే
Maharani	మహారాణి
Levant	లెవంట్
Mayadari	మాయదారి
Fatafat	ఫటాఫట్
Vedurukuppam	వెదురుకుప్పం
Device	డివైజ్
Megastar	మెగాస్టార్
Illarikam	ఇల్లరికం
Madhubala	మధుబాల
LaxmikantPyarelal	లక్ష్మీకాంత్ప్యారేలాల్
Beijing	బీజింగ్
Viraat	విరాట్
Mobile	మొబైల్
Erwin	ఎర్విన్
Paisa	పైసా
Cookie	కుకీ
Pativrathalu	పతివ్రతలు
Agra	ఆగ్రా
Nazrul	నజ్రుల్
Yugandhar	యుగంధర్
Junction	జంక్షన్
Salem	సేలం
Haiku	హైకూ
Yadavalli	యడవల్లి
Bottu	బొట్టు
Tito	టిటో
Lankalakoderu	లంకలకోడేరు
Salamander	సాలమండర్
Zero	జీరొ
Jimmy	జిమ్మీ
Silver	సిల్వర్
Abdullapur	అబ్దుల్లాపూర్
Ijma	ఇజ్మా
Bhargava	భార్గవ
Konidena	కొణిదెన
Tomcat	టాంక్యాట్
Paes	పీస్
Julian	జూలియన్
Jolie	జోలీ
Debian	డెబియన్
Polonium	పొలోనియం
Stavudine	స్టావుడిన్
Pragadavaram	ప్రగడవరం
Ramarajabhushanudu	రామరాజభూషణుడు
railway	రైల్వే
Chanda	చందా
Niketanam	నికేతనం
Venkata	వెంకట
Thackeray	థాకరే
Boron	బోరాన్
Aaha	ఆహా
Zone	జోన్
League	లీగ్
Wikipedia	వికీపీడియా
Public	పబ్లిక్
Chakrabarty	చక్రవర్తి
Typewriter	టైపురైటర్
Digoxin	డిగాక్సిన్
Gadwal	గద్వాల
Bebbuli	బెబ్బులి
Ibrahim	ఇబ్రాహీం
Parvati	పార్వతి
Madhurantakam	మధురాంతకం
Bhupala	భూపాలుడు
Narayanpur	నారాయణపూర్
Aghori	అఘోరా
Telluric	టెల్లురిక్
Yamaho	యమహో
Parashara	పరాశరుడు
Dynamite	డైనమైట్
Mridula	మృదుల
Montana	మొంటానా
Kaaba	కాబా
LaMont	లామోంట్
Manasulu	మనసులు
Yerravaripalem	యెర్రావారిపాలెం
Amruta	అమృత
Mangamaripeta	మంగమారిపేట
Gobind	గోవింద
Bapatla	బాపట్ల
Dream	డ్రీం
Ram	రామ్
Tummalapalem	తుమ్మలపాలెం
Enterprise	ఎంటర్‌ప్రైజ్
Glucose	గ్లూకోజ్
Pitts	పిట్
Chukkallo	చుక్కల్లో
Salil	సలీల్
Puttapaka	పుట్టపాక
Makloor	మాక్లూర్
Athanokkade	అతనొక్కడే
Trishala	త్రిశాల
Charan	చరణ్
Navabpalem	నవాబ్‌పాలెం
Mulla	ముళ్ళ
Tank	ట్యాంక్
International	ఇంటర్నేషనల్
Dylan	డైలాన్
Negi	నేగి
Atazanavir	అటాజనవిర్
Pelladata	పెళ్ళాడతా
Arsikere	అరిసికెరే
Anthasthulu	అంతస్తులు
Metric	మెట్రిక్
Chandavaram	చందవరం
Hanifa	హనీఫా
virus	వైరస్
Oktyabrskaya	ఒక్త్యాబ్రస్కయా
Nasrallah	నస్రల్లా
Katchatheevu	కచ్చాతీవు
Talwar	తల్వార్
Bruno	బ్రూనో
Levi	లెవీ
Herman	హెర్మన్
Met	మెట్
Raghava	రాఘవ
Citrullus	సిట్రుల్లస్
Imran	ఇమ్రాన్
Physalis	ఫైసాలిస్
Algiers	అల్జీర్స్
Git	గిట్
Shahane	సహాని
Wikimania	వికీమానియా
Thimmannagudem	తిమ్మనగూడెం
Magadheera	మగధీర
Lakkavarapukota	లక్కవరపుకోట
Nataraja	నటరాజు
Vidapanakal	విడపనకల్లు
Tarvatha	తరువాత
Amarapu	అమరపు
Valluri	వల్లూరి
tuner	ట్యూనర్
before	బిఫోర్
Mandir	మందిరం
Rajaji	రాజాజీ
Spaghetti	స్పఘెట్టి
Ernest	ఎర్నెస్ట్
Pedasanagallu	పెడసనగల్లు
Scrabble	స్క్రాబుల్
Kurumaddali	కురుమద్దాలి
Jail	జైలు
Metering	మీటరింగ్
Bheemakavi	భీమకవి
Srinatha	శ్రీనాథుడు
Appalacharyulu	అప్పలాచార్యులు
Ravella	రావెళ్ళ
Padmasambhava	పద్మసంభవుడు
Nampally	నాంపల్లి
Ganesan	గణేశన్
Ghatkeser	ఘటకేసర్
Carlin	కార్లిన్
Pavhari	పావ్‌హరి
Bomma	బొమ్మా
Duminy	డుమిని
Palakkad	పాలక్కాడ్
wicket	వికెట్
Sikandar	సికిందర్
Sabha	సభా
Shoaib	షోయబ్
Keane	కీన్
Rifampicin	రిఫాంపిసిన్
Achala	అచలా
Rudrama	రుద్రమ
Mudhole	ముధోల్
Benjamin	బెంజిమన్
Vuitton	విట్టన్
Vishnu	విష్ణు
Seeta	సీత
Institutes	ఇన్‌స్టిట్యూట్
Automated	ఆటోమేటెడ్
Hill	హిల్
Pilla	పిల్ల
Konthamuru	కొంతమూరు
spectroscopy	స్పెక్ట్రోస్కోపీ
Devprayag	దేవప్రయాగ
Disney	డిస్నీ
Sabbavaram	సబ్బవరం
